hostname,socks5_hostname,socks5_endpoint,city,country,provider,ipv4,ipv6
us-chi-wg-202,us-chi-wg-socks5-202,us-chi-wg-socks5-202.relays.mullvad.net:1080,"Chicago, IL",USA,DataPacket,87.249.134.14,2a02:6ea0:c61f:1::b64f
us-chi-wg-203,us-chi-wg-socks5-203,us-chi-wg-socks5-203.relays.mullvad.net:1080,"Chicago, IL",USA,DataPacket,87.249.134.27,2a02:6ea0:c61f:2::f001
us-chi-wg-301,us-chi-wg-socks5-301,us-chi-wg-socks5-301.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.2,2607:9000:0:101::f001
us-chi-wg-302,us-chi-wg-socks5-302,us-chi-wg-socks5-302.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.33,2607:9000:0:102::f001
us-chi-wg-303,us-chi-wg-socks5-303,us-chi-wg-socks5-303.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.64,2607:9000:0:103::f001
us-chi-wg-304,us-chi-wg-socks5-304,us-chi-wg-socks5-304.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.95,2607:9000:0:104::f001
us-chi-wg-305,us-chi-wg-socks5-305,us-chi-wg-socks5-305.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.126,2607:9000:0:105::f001
us-chi-wg-306,us-chi-wg-socks5-306,us-chi-wg-socks5-306.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.157,2607:9000:0:106::f001
us-chi-wg-307,us-chi-wg-socks5-307,us-chi-wg-socks5-307.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.188,2607:9000:0:107::f001
us-chi-wg-308,us-chi-wg-socks5-308,us-chi-wg-socks5-308.relays.mullvad.net:1080,"Chicago, IL",USA,Tzulo,68.235.46.209,2607:9000:0:108::f001
us-dal-wg-001,us-dal-wg-socks5-001,us-dal-wg-socks5-001.relays.mullvad.net:1080,"Dallas, TX",USA,M247,146.70.211.66,2001:ac8:9a:76::1f
us-dal-wg-002,us-dal-wg-socks5-002,us-dal-wg-socks5-002.relays.mullvad.net:1080,"Dallas, TX",USA,M247,146.70.211.2,2001:ac8:9a:75::2f
us-dal-wg-003,us-dal-wg-socks5-003,us-dal-wg-socks5-003.relays.mullvad.net:1080,"Dallas, TX",USA,M247,146.70.211.130,2001:ac8:9a:78::3f
us-dal-wg-401,us-dal-wg-socks5-401,us-dal-wg-socks5-401.relays.mullvad.net:1080,"Dallas, TX",USA,DataPacket,37.19.200.156,2a02:6ea0:d20c:3::b72f
us-dal-wg-402,us-dal-wg-socks5-402,us-dal-wg-socks5-402.relays.mullvad.net:1080,"Dallas, TX",USA,DataPacket,37.19.200.143,2a02:6ea0:d20c:2::b71f
us-dal-wg-403,us-dal-wg-socks5-403,us-dal-wg-socks5-403.relays.mullvad.net:1080,"Dallas, TX",USA,DataPacket,37.19.200.130,2a02:6ea0:d20c:1::f001
us-dal-wg-601,us-dal-wg-socks5-601,us-dal-wg-socks5-601.relays.mullvad.net:1080,"Dallas, TX",USA,HostRoyale,103.102.246.3,2a01:4740:2::f001
us-dal-wg-602,us-dal-wg-socks5-602,us-dal-wg-socks5-602.relays.mullvad.net:1080,"Dallas, TX",USA,HostRoyale,103.102.246.127,2a01:4740:2::f101
us-dal-wg-603,us-dal-wg-socks5-603,us-dal-wg-socks5-603.relays.mullvad.net:1080,"Dallas, TX",USA,HostRoyale,103.102.247.3,2a01:4740:2::f201
us-dal-wg-604,us-dal-wg-socks5-604,us-dal-wg-socks5-604.relays.mullvad.net:1080,"Dallas, TX",USA,HostRoyale,103.102.247.127,2a01:4740:2::f301
us-den-wg-101,us-den-wg-socks5-101,us-den-wg-socks5-101.relays.mullvad.net:1080,"Denver, CO",USA,DataPacket,37.19.210.1,2a02:6ea0:d70a::b57f
